,,,store,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
store_id,name,store_type,street,city,state,country,zip,phone,open_time,close_time,manager_name,,,,,
1,Minions INC,Online,400 Oxford Exchange Blvd,Auburn,Alabama,United States,36203-3459,(256) 231-2900,8:00:00,22:00:00,Smith,,,,,
2,Minions INC,Offline,2640 Enterprise Dr,Auburn,Alabama,United States,36801-1511,(334) 705-0152,8:00:00,22:00:00,John,,,,,
3,Minions INC,Offline,1129 S Park St,Atlanta,Georgia,United States,30117-4429,(770) 838-9221,8:00:00,22:00:00,Joey,,,,,
4,Minions INC,Offline,555 Bullsboro Dr,Houston,Texas,United States,30265-1045,(770) 502-0294,8:00:00,22:00:00,Rachel,,,,,
5,Minions INC,Offline,1591 Bradley Park Dr,Mountain View,California,United States,31904-3071,(706) 321-0831,8:00:00,23:00:00,Chandler,,,,,
6,Minions INC,Offline,1209 Peachtree Pkwy ,Rochester,New York,United States,30269-1743,(770) 282-2165,8:00:00,22:00:00,Ross,,,,,
7,Minions INC,Offline,2576 Berryhill Rd,Miami,Florida,United States,36117-3564,(334) 356-6265,8:00:00,22:00:00,Phoebe,,,,,
8,Minions INC,Offline,2950 Chapel Hill Rd,Columbia,South Carolina,United States,30135-1708,(770) 947-5303,8:00:00,22:00:00,Monica,,,,,
9,Minions INC,Offline,2754 Legends Pkwy,Charlotte,North Carolina,United States,36066-7748,(334) 290-6000,8:00:00,22:00:00,Will,,,,,
10,Minions INC,Offline,26301 104th Ave SE,Maryland,Washington,United States,35242-5028,(205) 408-7687,8:00:00,23:00:00,Treger,,,,,
11,Minions INC,Offline,9009 SW Hall Blvd,Pittsburgh,Pennsylvania,United States,97223-4432,(503) 624-0273,7:00:00,0:00:00,Richard,,,,,
12,Minions INC,Offline,2201 S Commons,Kansas,Orlando,United States,98003-6023,(253) 733-7520,7:00:00,23:00:00,Kane,,,,,
13,Minions INC,Offline,10775 SW Beaverton Hillsdale Hwy,Cleveland,Ohio,United States,97005-3001,(503) 626-8345,7:00:00,23:00:00,Messi,,,,,
14,Minions INC,Offline,25925 SW Heather Pl,Princeton,NewJersey,United States,97070-5785,(503) 682-7781,8:00:00,23:00:00,Ronaldo,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,category,,,,,,,,,brand,,,,
,,,,,,,,,,,,,,,,
,,category_id,name,,,,,,,,brand_id,name,,,,
,,FOOT983,Footwear,,,,,,,,AAK994,Aakrati,,,,
,,GAMI550,Gaming,,,,,,,,ACE359,Ace,,,,
,,HOME570,Home Decor & Festive Needs,,,,,,,,AIR271,Airplus,,,,
,,HOME674,Home Improvement,,,,,,,,ESP694,Espoir,,,,
,,JEWE498,Jewellery,,,,,,,,EUR487,Eureka,,,,
,,KITC556,Kitchen & Dining,,,,,,,,EXO465,Exotica,,,,
,,MOBI815,Mobiles & Accessories,,,,,,,,FLI951,Flipside,,,,
,,COMP209,Computers,,,,,,,,INF245,Infinity India,,,,
,,CLOT445,Clothing,,,,,,,,INT116,Intel,,,,
,,FURN678,Furniture,,,,,,,,MYE138,Myesquire,,,,
,,PETS123,Pet Supplies,,,,,,,,NET315,Netgear,,,,
,,TOOL987,Tools and Hardware,,,,,,,,OCE366,Ocean,,,,
,,BABC378,BabyCare,,,,,,,,PEA782,Pearl,,,,
,,SOFI178,Sports and Fitness,,,,,,,,TWI656,Twin Twine,,,,
,,,,,,,,,,,MUS390,Mustard,,,,
,,,,,,,,,,,AMA378,Amardeep,,,,
,,,,,,,,,,,SIC156,Sicons,,,,
,,,,,,,,,,,RAP601,Rapter,,,,
,,,,,,,,,,,EUR409,Eurospa,,,,
,,,,,,,,,,,REC165,Reckonon,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,product,,,,,,,,
,,,,,,,,,,,,,,,,
,,,product_id,product_name,description,product_tree,,,,,,,,,,
,,,AIRED9YGJWG2GXUK,Myesquire Square Pot Aroma Electric Burner Lemongrass Liquid Air Freshener,Buy Myesquire Square Pot Aroma Electric Burner Lemongrass Liquid Air Freshener for Rs.628 online. Myesquire Square Pot Aroma Electric Burner Lemongrass Liquid Air Freshener at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"[""Home Decor & Festive Needs >> Candles & Fragrances >> Home Fragrances >> Handheld Air Fresheners >> Myesquire Handheld Air Fresheners""]",,,,,,,,,,
,,,AIRE98PZQXREURYP,Myesquire Brown Aroma Burner Combo Lemongrass Liquid Air Freshener,Buy Myesquire Brown Aroma Burner Combo Lemongrass Liquid Air Freshener for Rs.270 online. Myesquire Brown Aroma Burner Combo Lemongrass Liquid Air Freshener at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"[""Home Decor & Festive Needs >> Candles & Fragrances >> Home Fragrances >> Aroma Oils >> Myesquire Aroma Oils""]",,,,,,,,,,
,,,AIREDGGD9RJPZGYW,Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener,Buy Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener for Rs.245 online. Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"[""Home Decor & Festive Needs >> Candles & Fragrances >> Home Fragrances >> Aroma Oils >> Myesquire Aroma Oils""]",,,,,,,,,,
,,,CDSEJWHYVFJYHRGR,Pearl Spice-2 Condiment Set,"Key Features of Pearl Spice-2 Condiment Set Separate Storage Enclose the Spoon Non-Slip Base BPA Free,Pearl Spice-2 Condiment Set (Plastic) Price: Rs. 349 Premium quality Apple Shaped Multicolour Spices/Seasoning/Condiment Set.,Specifications of Pearl Spice-2 Condiment Set (Plastic) General Brand Pearl Suitable For Seasoning and Spices Model Number A349 Type Condiment Set Material Plastic Model Name Spice-2 Capacity 305 ml Color Multicolor In the box Sales Package 2 Spoons, 2 Containers Additional Features Other Features Easy to clean","[""Kitchen & Dining >> Tableware & Cutlery >> Tableware >> Condiment Sets >> Pearl Condiment Sets >> Pearl Spice-2 Condiment Set (Plastic)""]",,,,,,,,,,
,,,CPLEHB7C7QYBDMTV,Ocean OPG/PTYDC-15 Dial Caliper,Specifications of Ocean OPG/PTYDC-15 Dial Caliper (0-15 mm) In the box 1 Caliper General Brand Ocean Model Number OPG/PTYDC-15 Type Dial Caliper Resolution 0.05 mm Measuring Range 0-15 mm Accuracy 0-10mm,"[""Home Improvement >> Tools >> Measuring & Layout Tools >> Calipers >> Ocean OPG/PTYDC-15 Dial Caliper (0-15 mm)""]",,,,,,,,,,
